，	PU	,	Capx Nwsl
的	DEC		Void
的	DEG		Void
的	DEV		Void
的	SP		Void
的	DER		Void
。	PU	.	Capx
､	PU	,	Capx Nwsl
在	P	tại	
在	VV	tại	
在	AD	tại	
是	VC	là	
是	DT	là	
“	PU	“	Capx Nwsr
”	PU	”	Capx Nwsl
一	CD	một	
一	AD	vừa	
一	OD	một	
一	NT	một	
一	VA	một	
了	AS	rồi	
了	SP	rồi	
了	VV	rồi	
和	CC	và	
和	P	cùng	
和	NN	cùng	
和	ETC	cùng	
有	VE	có	
有	VV	có	
有	NN	có	
个	M	cái	
个	DER	cái	
个	AS	cái	
也	AD	cũng	
也	CC	cũng	
也	SP	vậy	
年	M	năm	
年	AD	năm	
年	JJ	năm	
年	NN	năm	
与	CC	cùng	
与	P	cùng	
为	P	vì	
为	VC	vì	
为	VV	vì	
为	LB	vì	
为	MSP	vì	
为	AD	vì	
对	P	đối với	
对	M	đối với	
对	VA	đúng	
对	VV	đối với	
对	CC	đối với	
这	DT	này	
这	PN	đây	
这	AD	này	
中	LC	trong	
中	JJ	trong	
中	NR	trong	
中	AS	trong	
中	NN	trong	
中	VV	trong	
将	AD	đem	
将	BA	đem	
将	VV	đem	
将	NN	tướng	
上	LC	trên	
上	DT	lên	
上	VV	lên	
上	NN	lên	
上	AD	lên	
上	NR	lên	
上	JJ	lên	
就	AD	liền	
就	P	liền	
就	VV	liền	
他	PN	hắn	
以	P	lấy	
以	MSP	lấy	
以	NR	lấy	
（	PU	(	Capx Nwsr
等	ETC	đợi	
等	P	đợi	
等	M	đợi	
等	VV	đợi	
等	CC	đợi	
）	PU	)	Capx Nwsl
到	VV	đến	
到	P	đến	
到	CC	đến	
两	CD	hai	
两	AD	hai	
两	NT	hai	
两	M	hai	
要	VV	muốn	
要	AD	muốn	
要	JJ	muốn	
要	CS	muốn	
来	LC	đến	
来	VV	đến	
来	NN	đến	
来	MSP	đến	
来	M	đến	
而	CC	mà	
而	AD	mà	
而	MSP	mà	
；	PU	;	Capx Nwsl
：	PU	:	Capr Nwsl
但	AD	nhưng	
但	CC	nhưng	
各	DT	mỗi	
各	AD	mỗi	
各	NN	mỗi	
还	AD	còn	
还	VV	trả	
还	CC	còn	
全	DT	toàn	
全	VA	toàn	
全	AD	toàn	
全	JJ	toàn	
多	AD	nhiều	
多	CD	nhiều	
多	VA	nhiều	
多	NN	nhiều	
多	VV	nhiều	
多	JJ	nhiều	
从	P	theo	
从	AD	theo	
从	NN	theo	
家	M	nhà	
家	NN	nhà	
家	JJ	nhà	
并	CC	tịnh	
并	AD	tịnh	
并	VV	tịnh	
》	PU	⟩	Capx Nwsl
《	PU	⟨	Capr Nwsr
地	DEV	mà	
地	NN	đất	
地	DEC	mà	
地	DER	mà	
三	CD	ba	
三	OD	ba	
三	NT	ba	
后	LC	sau	
后	DT	sau	
后	JJ	sau	
后	NN	sau	
后	AD	sau	
及	CC	tới	
美元	M	đô-la Mỹ	
美元	NN	đô-la Mỹ	
及	VV	tới	
？	PU	?	Capr Nwsl
我	PN	ta	
次	M	lần	
次	OD	lần	
次	AD	lần	
时	LC	lúc	
时	NN	lúc	
时	AD	lúc	
元	M	nguyên	
元	OD	nguyên	
元	NR	nguyên	
被	SB	bị	
着	AS	lấy	
被	LB	bị	
着	VV	lấy	
更	AD	càng	
更	CC	càng	
由	P	tuỳ	
由	NN	tuỳ	
由	VV	tuỳ	
前	LC	trước	
前	DT	trước	
前	JJ	trước	
前	NN	trước	
我们	PN	chúng ta	
种	M	loại	
之	DEC	chi	
之	PN	chi	
之	DEG	chi	
种	NN	loại	
种	VV	loại	
之	DER	chi	
每	DT	mỗi	
每	AD	mỗi	
又	AD	lại	
自己	PN	bản thân	
又	CC	lại	
下	LC	xuống	
下	DT	xuống	
下	VV	xuống	
下	NN	xuống	
下	M	xuống	
没有	VV	không có	
没有	VE	không có	
没有	NN	không có	
没有	SP	không có	
只	AD	chỉ	
只	M	chỉ	
却	AD	lại	
却	CC	lại	
