这	giá	rz		1020
本报	bản báo	rz		427
我国	ngã quốc	rz		364
之	chi	rz		39
其	kỳ	rz		273
这些	giá ta	rz		223
这个	giá cá	rz		202
此	thử	rz		179
各	các	rz		155
那	na	rz		136
这样	giá dạng	rz		125
这样	giá dạng	rzw		7
其中	kỳ trung	rz		129
其他	kỳ tha	rz		121
该	cai	rz		90
各级	các cấp	rz		113
这里	giá lý	rz		108
各种	các chủng	rz		104
本	bản	rz		45
有的	hữu đích	rz		87
每	mỗi	rz		85
每年	mỗi niên	rz		74
任何	nhậm hà	rz		69
各地	các địa	rz		69
之一	chi nhất	rz		68
各国	các quốc	rz		65
各界	các giới	rz		55
另	lánh	rz		38
一切	nhất thiết	rz		45
有些	hữu ta	rz		41
那么	na ma	rz		21
那些	na ta	rz		40
者	giả	rz		3
某	mỗ	rz		38
各个	các cá	rz		35
如此	như thử	rz		34
如此	như thử	rzw		1
各类	các loại	rz		34
此次	thử thứ	rz		31
此间	thử gian	rz		29
每个	mỗi cá	rz		29
这么	giá ma	rz		26
那里	na lý	rz		25
另外	lánh ngoại	rz		3
那样	na dạng	rz		21
那样	na dạng	rzw		1
这时	giá thời	rz		19
其它	kỳ tha	rz		21
本届	bản giới	rz		21
各族	các tộc	rz		19
本身	bản thân	rz		19
我军	ngã quân	rz		18
某些	mỗ ta	rz		18
别	biệt	rz		3
每次	mỗi thứ	rz		17
那个	na cá	rz		16
本国	bản quốc	rz		15
本地	bản địa	rz		15
那种	na chủng	rz		15
哪	na	rz		1
那时	na thời	rz		14
我党	ngã đảng	rz		12
各方	các phương	rz		11
之类	chi loại	rz		11
此后	thử hậu	rz		10
此前	thử tiền	rz		9
某种	mỗ chủng	rz		8
此时	thử thời	rz		8
别国	biệt quốc	rz		7
那位	na vị	rz		6
两者	lưỡng giả	rz		6
后者	hậu giả	rz		6
其一	kỳ nhất	rz		6
某个	mỗ cá	rz		6
此刻	thử khắc	rz		5
此举	thử cử	rz		5
这儿	giá nhi	rz		5
诸	chư	rz		5
其余	kỳ dư	rz		5
这天	giá thiên	rz		4
前者	tiền giả	rz		4
其二	kỳ nhị	rz		4
别的	biệt đích	rz		4
某部	mỗ bộ	rz		3
那儿	na nhi	rz		3
各种各样	các chủng các dạng	rz		3
二者	nhị giả	rz		2
他乡	tha hương	rz		2
其三	kỳ tam	rz		2
此行	thử hành	rz		2
他国	tha quốc	rz		2
此处	thử xử	rz		2
本文	bản văn	rz		2
如是	như thị	rz		2
别样	biệt dạng	rz		1
这边	giá biên	rz		1
本市	bản thị	rz		1
彼	bỉ	rz		1
此地	thử địa	rz		1
此种	thử chủng	rz		1
这会儿	giá hội nhi	rz		1
