也	dã	d		51625	
将	tướng	d		43221	
不	bất	d		42377	
就	tựu	d		34239	
都	đô	d		33066	
一	nhất	d		10175	
还	hoàn	d		25609	
已	dĩ	d		14835	
已经	dĩ kinh	d		12736	
最	tối	d		11184	
又	hựu	d		10730	
很	ngận	d		9626	
万	vạn	d		8703	
更	canh	d		8836	
却	khước	d		8138	
没	một	d		7428	
曾	tăng	d		7232	
再	tái	d		7169	
则	tắc	d		6696	
才	tài	d		6415	
一直	nhất trực	d		6036	
正在	chính tại	d		5721	
约	ước	d		5453	
进一步	tiến nhất bộ	d		5277	
非常	phi thường	d		4925	
仍	nhưng	d		4705	
只	chích	d		4636	
未	vị	d		4633	
特别	đặc biệt	d		4455	
甚至	thậm chí	d		4360	
不断	bất đoạn	d		4343	
共	cộng	d		3977	
均	quân	d		3935	
比较	tỉ giác	d		3802	
随后	tuỳ hậu	d		3587	
必须	tất tu	d		3512	
便	tiện	d		3417	
正	chính	d		3403	
太	thái	d		3180	
最终	tối chung	d		3069	
其实	kỳ thực	d		3047	
分别	phân biệt	d		2967	
更加	canh gia	d		2943	
只是	chích thị	d		2889	
对此	đối thử	d		2845	
不要	bất yêu	d		2769	
仅	cận	d		2736	
再次	tái thứ	d		2709	
并不	tịnh bất	d		2667	
先	tiên	d		2625	
共同	cộng đồng	d		2573	
依法	y pháp	d		2557	
十分	thập phần	d		2403	
越来越	việt lai việt	d		2339	
经常	kinh thường	d		2169	
立即	lập tức	d		2046	
几乎	cơ hồ	d		1970	
真正	chân chính	d		1923	
更是	canh thị	d		1905	
几	kỷ	d		1756	
刚	cương	d		1893	
先后	tiên hậu	d		1853	
高度	cao độ	d		1835	
同样	đồng dạng	d		1831	
很大	ngận đại	d		1716	
长期	trường kỳ	d		1705	
纷纷	phân phân	d		1702	
尤其	vưu kỳ	d		1700	
还要	hoàn yếu	d		1654	
终于	chung vu	d		1629	
依然	y nhiên	d		1628	
真的	chân đích	d		1607	
最好	tối hảo	d		1569	
原来	nguyên lai	d		1555	
即将	tức tướng	d		1537	
更好	canh hảo	d		1510	
近年来	cận niên lai	dl		1489	
越	việt	d		1484	
专门	chuyên môn	d		1475	
仍然	nhưng nhiên	d		1472	
快速	khoái tốc	d		1467	
不再	bất tái	d		1458	
至少	chí thiểu	d		1450	
首先	thủ tiên	d		1438	
初步	sơ bộ	d		1384	
较	giác	d		1379	
曾经	tăng kinh	d		1371	
难以	nan dĩ	d		1344	
一边	nhất biên	d		1324	
至今	chí kim	d		1301	
很快	ngận khoái	d		1279	
当然	đương nhiên	d		1278	
到底	đáo để	d		1255	
重新	trọng tân	d		1218	
刚刚	cương cương	d		1212	
较大	giác đại	d		1188	
自动	tự động	d		1188	
相对	tương đối	d		1187	
似乎	tự hồ	d		1182	
并未	tịnh vị	d		1166	
逐步	trục bộ	d		1162	
大力	đại lực	d		1153	
常	thường	d		1145	
逐渐	trục tiệm	d		1140	
一旦	nhất đán	d		1131	
始终	thuỷ chung	d		1114	
马上	mã thượng	d		1114	
不久	bất cửu	d		1093	
相当	tương đương	d		1073	
往往	vãng vãng	d		1066	
有点	hữu điểm	d		1059	
别	biệt	d		1058	
陆续	lục tục	d		1018	
竟然	cánh nhiên	d		1014	
总是	tổng thị	d		1000	
很难	ngận nan	d		990	
更大	canh đại	d		988	
大约	đại ước	d		977	
尽快	tận khoái	d		969	
就要	tựu yếu	d		928	
原本	nguyên bản	d		917	
竟	cánh	d		909	
不用	bất dụng	d		894	
实际上	thực tế thượng	d		891	
全力	toàn lực	d		877	
尚未	thượng vị	d		856	
赶紧	cản khẩn	d		850	
相	tương	d		827	
大幅	đại bức	d		819	
故意	cố ý	d		815	
绝对	tuyệt đối	d		791	
尽量	tận lượng	d		782	
亦	diệc	d		781	
或许	hoặc hứa	d		779	
乱	loạn	d		768	
究竟	cứu cánh	d		768	
一度	nhất độ	d		764	
必	tất	d		744	
随即	tuỳ tức	d		737	
天天	thiên thiên	d		727	
实在	thực tại	d		725	
大多	đại đa	d		713	
自行	tự hành	d		705	
有时	hữu thời	d		700	
不得不	bất đắc bất	d		699	
的确	đích xác	d		699	
无奈	vô nại	d		699	
相互	tương hỗ	d		694	
暂时	tạm thời	d		692	
也许	dã hứa	d		691	
单独	đơn độc	d		691	
年年	niên niên	d		683	
直	trực	d		679	
极	cực	d		674	
反而	phản nhi	d		647	
通常	thông thường	d		645	
欲	dục	d		639	
永远	vĩnh viễn	d		638	
当场	đương trường	d		636	
再度	tái độ	d		630	
本来	bản lai	d		628	
早已	tảo dĩ	d		625	
不大	bất đại	d		615	
大大	đại đại	d		604	
率先	suất tiên	d		601	
更为	canh vi	d		598	
较为	giác vi	d		594	
立刻	lập khắc	d		590	
亲自	thân tự	d		587	
常常	thường thường	d		585	
仅仅	cận cận	d		583	
挺	đỉnh	d		568	
尚	thượng	d		561	
定期	định kỳ	d		558	
无疑	vô nghi	d		557	
紧紧	khẩn khẩn	d		554	
好好	hảo hảo	d		553	
真是	chân thị	d		546	
更高	canh cao	d		546	
大概	đại khái	d		544	
多年来	đa niên lai	d		544	
反复	phản phúc	d		541	
只好	chích hảo	d		541	
毕竟	tất cánh	d		538	
最为	tối vi	d		533	
由此	do thử	d		531	
从严	tòng nghiêm	d		522	
从来	tòng lai	d		518	
过度	quá độ	d		516	
一道	nhất đạo	d		515	
较多	giác đa	d		515	
日益	nhật ích	d		501	
随时	tuỳ thời	d		500	
必然	tất nhiên	d		496	
届时	giới thời	d		494	
过多	quá đa	d		477	
慢慢	mạn mạn	d		477	
旗下	kỳ hạ	d		474	
一律	nhất luật	d		469	
最早	tối tảo	d		451	
一时	nhất thời	d		442	
相继	tương kế	d		440	
一同	nhất đồng	d		439	
一次性	nhất thứ tính	d		437	
不住	bất trụ	d		436	
最初	tối sơ	d		429	
须	tu	d		428	
以此	dĩ thử	d		425	
过于	quá vu	d		424	
就算	tựu toán	d		421	
从未	tòng vị	d		415	
再也	tái dã	d		413	
较好	giác hảo	d		405	
很高	ngận cao	d		405	
居然	cư nhiên	d		401	
强行	cưỡng hành	d		397	
互相	hỗ tương	d		397	
太大	thái đại	d		394	
独自	độc tự	d		391	
史上	sử thượng	d		387	
基本上	cơ bản thượng	d		387	
就此	tựu thử	d		384	
皆	giai	d		381	
不时	bất thời	d		380	
多方	đa phương	d		375	
从小	tòng tiểu	d		372	
偏	thiên	d		366	
将近	tướng cận	d		364	
暂	tạm	d		360	
远远	viễn viễn	d		353	
略	lược	d		351	
实地	thực địa	d		348	
有时候	hữu thời hậu	d		347	
一共	nhất cộng	d		342	
被迫	bị bách	d		341	
颇	pha	d		341	
渐渐	tiệm tiệm	d		339	
从此	tòng thử	d		334	
一一	nhất nhất	d		18	
擅自	thiện tự	d		331	
极为	cực vi	d		327	
当下	đương hạ	d		327	
特意	đặc ý	d		327	
较低	giác đê	d		323	
恐怕	khủng phạ	d		319	
不妨	bất phương	d		313	
最快	tối khoái	d		309	
早就	tảo tựu	d		307	
一头	nhất đầu	d		307	
绝	tuyệt	d		304	
先是	tiên thị	d		303	
简直	giản trực	d		299	
不仅仅	bất cận cận	d		296	
日均	nhật quân	d		295	
难道	nan đạo	d		290	
早日	tảo nhật	d		287	
一向	nhất hướng	d		284	
常年	thường niên	d		282	
稍	sảo	d		281	
频频	tần tần	d		279	
有意	hữu ý	d		278	
遂	toại	d		278	
终	chung	d		277	
一手	nhất thủ	d		277	
颇为	pha vi	d		275	
四处	tứ xử	d		274	
绝不	tuyệt bất	d		271	
极其	cực kỳ	d		271	
近来	cận lai	d		270	
接连	tiếp liên	d		269	
未经	vị kinh	d		267	
牢牢	lao lao	d		265	
当即	đương tức	d		263	
凡	phàm	d		263	
不料	bất liệu	d		263	
独	độc	d		261	
随之	tuỳ chi	d		258	
不必	bất tất	d		256	
