19	19	1111	xxxx	1663277113	3	0	Nipin
20	20	2222	xxxx	1663277113	3	0	Nipin
21	21	3333	yyyy	1663277113	2	0	Nipin
19	19	xxxx	xxxx	1663277531	7	0	Nipin
20	20	2222	xxxx	1663277531	3	0	Nipin
21	21	yyyy	xxxx	1663277531	6	0	Nipin
19	19	xxxx		1663277688	7	0	
20	20	2222		1663277688	3	0	
21	21	yyyy		1663277688	6	0	
19	19	xxxx		1663277722	7	0	
20	20	2222		1663277722	3	0	
21	21	yyyy		1663277722	6	0	
19	19	1111	xxxx	1663277784	3	0	
20	20	2222	xxxx	1663277784	3	0	
21	21	3333	yyyy	1663277784	2	0	
19	19	1111	xxxx	1663277827	3	1	
20	20	2222	xxxx	1663277827	3	1	
21	21	3333	yyyy	1663277827	2	1	
19	19	1111	xxxx	1663277924	3	1	
20	20	2222	xxxx	1663277924	3	1	
21	21	3333	yyyy	1663277924	2	1	
19	19	1111	xxxx	1663278027	3	1	
20	20	2222	xxxx	1663278027	3	1	
21	21	3333	yyyy	1663278027	2	1	
19	19	1111	xxxx	1663278060	3	1	
20	20	2222	xxxx	1663278060	3	1	
21	21	3333	yyyy	1663278060	2	1	
19	19	1111	xxxx	1663278148	3	1	1
20	20	2222	xxxx	1663278148	3	1	1
21	21	3333	yyyy	1663278148	2	1	1
19	19	1111	xxxx	1663278184	3	1	@Nipin
20	20	2222	xxxx	1663278184	3	1	@Nipin
21	21	3333	yyyy	1663278184	2	1	@Nipin
19	19	1111	xxxx	1663278190	3	1	Nipin
20	20	2222	xxxx	1663278190	3	1	Nipin
21	21	3333	yyyy	1663278190	2	1	Nipin
19	19	1111	xxxx	1663278240	3	1	Nipin
20	20	2222	xxxx	1663278240	3	1	Nipin
21	21	3333	yyyy	1663278240	2	1	Nipin
21	21	3333	yyyy	1663278305	3	0	
21	21	3333	yyyy	1663278312	3	0	
